bedroom_count,net_sqm,center_distance,metro_distance,floor,age,price
9,437.405371,69.36,-75.83529774,1,94,104926.2271
2,62.44519967,872.73,21.06799684,14,77,94158.66971
1,26.69084777,626.58,3.660776801,17,80,91808.64207
5,237.8682651,411.9,181.1440357,1,23,104162.9808
3,140.4361679,328.24,103.8615627,9,20,100276.7907
4,37.71237263,365.17,23.4608131,7,49,93435.84509
8,250.0345973,1539.04,148.7295295,1,56,98905.18672
1,43.76496669,1671.8,182.4685763,1,71,89156.06054
2,92.72432126,1352.55,142.0502747,3,16,93921.56789
2,86.31215327,780.52,89.14230509,18,45,96916.46865
11,270.3091289,1372.98,82.92809496,2,49,98933.09657
7,181.53164,1622.35,127.5896828,1,0,96167.60532
3,35.35435884,27.08,-94.73564256,10,89,93811.36682
2,85.44636969,1755.49,187.9460763,8,67,92413.86223
4,104.621783,1175.25,171.8122193,15,57,98257.20931
3,146.8000307,1151.79,157.1647256,19,97,98728.02838
5,235.8728434,596.62,119.2056259,3,17,100950.638
2,28.9725195,825.72,26.86815946,21,2,96400.43942
3,8.113730361,1901.85,139.2744722,15,20,91562.53096
2,32.47243103,1505.22,162.474523,7,58,90984.66822
4,100.9564691,190.96,-45.09650664,22,53,97488.09596
11,315.4861913,1052.62,103.5937169,2,6,103195.1634
6,144.7674162,333.86,136.2237211,2,84,98450.04076
1,32.29881464,1472.83,20.57449707,21,58,90522.11397
3,147.5539921,1733.23,106.4571535,8,41,91946.71662
4,143.6628261,784.77,61.77243083,23,51,100574.1766
4,77.72806915,737.73,79.40234525,17,46,95937.81503
3,95.62895746,189.38,-64.27189689,13,60,95254.72139
7,297.6701825,1979.78,93.55991315,1,40,95945.93478
3,91.25523945,812.86,62.00944085,1,17,94819.74711
6,81.55048866,1538.36,75.26601891,1,32,90842.66767
4,191.0288126,1594.14,123.6633278,21,70,96054.13132
2,107.850594,1933.44,199.6514229,5,29,92733.6446
1,29.73339989,986.52,56.16637088,13,16,94289.69303
2,101.9761347,954.46,-14.30938577,13,34,93571.35461
10,524.8870097,1750.12,75.23111381,1,39,105460.9126
2,97.1172911,786.21,144.3249978,9,50,95876.70058
5,187.0179799,629.33,61.61079934,3,10,98393.44925
3,130.6571476,108.04,30.61628516,10,45,99586.99036
2,100.1053225,609.89,81.13599318,7,5,96702.50056
5,176.1109444,1388.86,264.9827825,1,55,96378.50264
5,179.8461161,1718.91,190.2911634,3,71,95304.81482
3,79.85027092,18.1,-16.14573873,23,80,97005.55402
6,231.7508909,1307.12,184.2810668,3,60,96935.76036
1,45.54618657,1718.13,107.4132755,15,92,90271.62096
2,76.87396802,817.85,67.08451331,3,21,93718.57458
3,103.8528403,727.53,84.60760684,21,76,98965.34186
5,113.6079071,1400.05,171.3997041,1,79,94825.20008
3,33.83082097,432.65,97.14608831,7,36,94589.73203
5,274.6381583,326.29,46.51492689,3,9,105517.762
7,364.5820468,198.3,28.33734655,1,92,104448.1037
3,143.8237298,1724.8,156.6201066,3,45,92280.82528
4,203.7172254,1112.67,50.7354656,2,23,99126.69294
3,85.65272873,765.37,50.37509177,10,33,97511.95604
1,35.95004811,755.69,112.7898993,17,50,96767.6532
8,73.37812001,1671.09,74.10922441,1,38,89439.35628
3,110.615871,1487.28,241.5111896,17,80,97130.86911
5,144.3296385,1854.4,220.5110324,3,21,93457.76526
1,6.232975082,1783.97,127.554484,5,69,86481.23729
3,12.59263559,355.73,21.60144485,3,76,91795.10235
2,49.2581911,1831.47,96.84326372,19,57,90049.68126
7,254.2775757,407.51,88.00077023,1,25,104723.7415
3,94.95248452,1845.21,84.50792462,17,7,93634.59233
1,48.92457664,882.69,21.03742511,15,47,91933.85019
3,123.9972427,1325.1,142.3324439,12,69,95679.90906
4,114.184384,752.35,100.2029817,1,22,97162.0325
6,122.1476202,100.5,84.75410655,3,47,98992.25076
9,274.9241585,775.37,58.82109241,2,38,103498.3486
1,16.97059844,1520.38,151.1794244,4,20,92432.11545
2,30.10741549,230.36,22.72073673,19,27,98134.36912
3,65.36687865,478.33,34.42677017,11,15,98646.63668
6,158.4318895,567.04,96.39384341,2,27,97400.2684
2,97.27639536,1978.95,139.8203903,23,49,93733.63171
3,159.6500346,1782.46,128.9388787,4,40,95366.92324
7,76.1253885,87.56,-78.05209383,1,76,96637.76685
2,65.66598876,908.81,137.0218237,21,88,94298.37533
2,19.55382835,888.43,103.8036184,24,22,96627.86794
6,125.9667819,185.26,-72.17878032,3,6,99740.96286
7,79.01181457,822.31,165.3443235,1,5,98848.01409
1,55.99027272,732.87,65.17419442,24,41,96786.16836
4,144.1606451,1689.99,167.3651378,1,66,91790.54662
2,62.6648568,918.2,130.1003237,15,60,95267.61801
1,33.36922637,33.91,48.35413291,19,4,100558.6496
4,155.4315771,812.38,114.9459994,12,68,97083.47271
2,64.25873572,305.27,-2.214572389,5,97,93244.39321
4,157.5052789,1691.54,179.411272,13,42,96956.92917
1,4.472103746,650.22,-2.790009589,18,36,94978.83157
11,526.4360774,128.82,108.8962751,2,2,116379.4669
1,32.983966,371.68,25.56784919,11,55,96398.67553
10,236.1910765,548.99,14.88752853,2,22,103303.54
3,66.01291901,647.16,46.93827651,8,5,94086.11633
4,136.7873109,1237.77,130.4905005,2,38,97123.63022
4,89.97446705,1043,87.35884168,7,0,97701.02992
8,393.7692761,934.79,68.61555752,2,44,103716.177
5,83.14980658,811.68,188.8097317,1,94,96780.59704
8,85.32566576,38.3,130.8526349,1,38,101705.0031
3,83.36182437,1716.36,187.1242642,17,66,92508.07333
2,86.03392756,182.3,46.92658822,22,1,99472.61542
3,87.12023406,635.02,143.8804087,14,76,98551.70986
3,31.62507573,1623.05,79.57990693,2,64,90535.56746
1,41.4607958,935.32,6.940245161,24,43,95955.04927
7,149.5096002,1039.3,99.88819767,1,44,98495.77263
2,-1.436787414,594.94,11.53008023,7,75,92738.26458
